Sunkist Australia Delite Mandarin,2.45,Fruits & Vegetables,400g,UP: $4.95 ,
Blush Sun Delights Golden Snacking Tomatoes,3.95,Fruits & Vegetables,200g,UP: $4.65 ,
Sunny Fruit Pomelo Gift Box,15.25,Fruits & Vegetables,2 per pack,UP: $16.80 ,
FairPrice Frozen Fresh Garden Peas,2.1,Fruits & Vegetables,400g,UP: $2.35 ,
Korean Campbell Grape,5.45,Fruits & Vegetables,400g,UP: $5.95 ,
China Kiwiberries,2.5,Fruits & Vegetables,125g,UP: $3.95 ,
Pasar Prepacked Carrots,0.95,Fruits & Vegetables,500g,- ,
Fresh Tomatoes,1.85,Fruits & Vegetables,600g,- ,
Gold Beijing Cabbage,1.0,Fruits & Vegetables,600g,- ,
Chef Yellow Onion - Large,1.45,Fruits & Vegetables,700g,- ,
Pasar Malaysia Young Ginger,1.6,Fruits & Vegetables,200g,- ,
Pasar Xiao Bai Chye,0.9,Fruits & Vegetables,220g,- ,
Sumifru Sweet Mountain Banana,3.95,Fruits & Vegetables,820g,- ,
Pasar Japanese Cucumber,1.2,Fruits & Vegetables,250g,- ,
Pasar Thailand Spring Onion,1.5,Fruits & Vegetables,100g,- ,
Pasar Seedless Red Watermelon,5.95,Fruits & Vegetables,1 per pack,- ,
Pasar Long Bean,1.35,Fruits & Vegetables,200g,- ,
Pasar Sweet Corn,1.3,Fruits & Vegetables,2 per pack,- ,
China Premium Fuji Apple,4.25,Fruits & Vegetables,4 per pack,- ,
Sakura Pearl Brinjal,1.7,Fruits & Vegetables,300g,- ,
Pasar Lady Finger,1.25,Fruits & Vegetables,250g,- ,
Pasar Malaysia Spring Onion,0.8,Fruits & Vegetables,100g,- ,
Pasar Red Chili Padi,0.8,Fruits & Vegetables,100g,- ,
Pasar Round Spinach,0.9,Fruits & Vegetables,220g,- ,
Pasar Cherry Tomatoes,1.4,Fruits & Vegetables,250g,- ,
Sumifru Philippines Banana,2.45,Fruits & Vegetables,700g,- ,
Pasar Thailand Baby Corn,0.8,Fruits & Vegetables,100g,- ,
Gold Australian Broccoli,3.0,Fruits & Vegetables,250g,- ,
Chef Chinese Spinach (Phuay Leng),1.6,Fruits & Vegetables,250g,- ,
Chef Red Onion - Small,1.75,Fruits & Vegetables,500g,- ,
Pasar Malaysia Seedless Guava,2.95,Fruits & Vegetables,600g,- ,
Pasar Thailand Chinese Parsley,1.25,Fruits & Vegetables,50g,- ,
Pasar Thailand Baby Kailan,1.55,Fruits & Vegetables,200g,- ,
Gold Round Cabbage,1.9,Fruits & Vegetables,1.5kg,- ,
Sumich Autralian Gourmet White Potatoes,2.55,Fruits & Vegetables,1kg,- ,
Pasar Cai Sim,0.9,Fruits & Vegetables,220g,- ,
Lovacado Avocado,8.95,Fruits & Vegetables,3 per pack,- ,
Pasar Australia Mandarin,7.95,Fruits & Vegetables,900g,- ,
Pasar Lemongrass,1.0,Fruits & Vegetables,100g,- ,
Pasar French Bean,2.0,Fruits & Vegetables,250g,- ,
Gold Green Capsicum,1.65,Fruits & Vegetables,300g,- ,
Pasar Baby Bittergourd,1.0,Fruits & Vegetables,250g,- ,
Gold Red Capsicum,1.95,Fruits & Vegetables,300g,- ,
Gold Australia Wong Bok,5.9,Fruits & Vegetables,1.5kg,- ,
Kok Fah Fresh Vegetable - Baby Spinach,1.1,Fruits & Vegetables,200g,- ,
Pasar Large Lime,1.4,Fruits & Vegetables,250g,- ,
Pasar Asparagus Fine,1.9,Fruits & Vegetables,120g,- ,
Zespri New Zealand Kiwifruit - Green,4.35,Fruits & Vegetables,4 - 6 per pack,- ,
Nature's Best Brastagi Potatoes - Granola (Washed),3.2,Fruits & Vegetables,1kg,- ,
Chef Yau Mak Chye,1.7,Fruits & Vegetables,300g,- ,
Hupco Fresh Lemon,3.5,Fruits & Vegetables,500g,- ,
Budget Pandan Leaves,0.65,Fruits & Vegetables,100g,- ,
Pasar Red Chili,1.7,Fruits & Vegetables,200g,- ,
Pasar Fresh Oyster Mushroom,1.2,Fruits & Vegetables,150g,- ,
Sumifru Poongmi Wang Banana,4.95,Fruits & Vegetables,820g,- ,
Zespri New Zealand Kiwifruit - SunGold (Organic),7.95,Fruits & Vegetables,600g•Organic,- ,
Go Fresh White Radish,2.5,Fruits & Vegetables,1 per pack,- ,
Sumifru Kamsookwang Pineapple,2.85,Fruits & Vegetables,1 per pack,- ,
Pasar Potato,4.8,Fruits & Vegetables,3kg,- ,
Pasar Red Onion,5.8,Fruits & Vegetables,3kg,- ,
Pasar Sweet Beans,1.45,Fruits & Vegetables,150g,- ,
Pasar Organic Baby Bok Choy,3.8,Fruits & Vegetables,250g•Organic,- ,
Diamond Pearl Brinjal,1.55,Fruits & Vegetables,350g,- ,
China Shanghai Green Baby,1.85,Fruits & Vegetables,300g,- ,
Pasar Thailand Chilli Padi - Green,0.8,Fruits & Vegetables,100g,- ,
Pasar Chinese Parsley,0.9,Fruits & Vegetables,50g,- ,
Pasar Indonesia Water Cress,1.8,Fruits & Vegetables,200g,- ,
Pasar Thailand Mini Cucumber,2.25,Fruits & Vegetables,500g,- ,
Nature's Best Brastagi Potatoes - Hertha (Washed),3.2,Fruits & Vegetables,1kg,- ,
Organic Japanese Pumpkin,5.9,Fruits & Vegetables,450g•Organic,- ,
Gold Australia Cauliflower,9.5,Fruits & Vegetables,900g,- ,
Wa Wa Chye Baby Wongbok,1.6,Fruits & Vegetables,250g,- ,
Pasar Thailand Baby Chye Sim,1.65,Fruits & Vegetables,200g,- ,
Pasar Green Chili,1.35,Fruits & Vegetables,200g,- ,
Driscoll's Blackberries,5.95,Fruits & Vegetables,170g,- ,
FairPrice Frozen Fresh Mixed Vegetables,3.95,Fruits & Vegetables,1kg,- ,
Chef China Hong Kong Chye Sim,1.6,Fruits & Vegetables,300g,- ,
Schreurs & Sons Celery,3.3,Fruits & Vegetables,1 per pack,- ,
FairPrice Frozen Fresh Garden Peas,3.95,Fruits & Vegetables,1kg,- ,
Pasar Snow Peas,1.45,Fruits & Vegetables,150g,- ,
Chef China Hong Kong Kai Lan,1.6,Fruits & Vegetables,300g,- ,
Pasar Thailand Romain Lettuce,2.2,Fruits & Vegetables,250g,- ,
FairPrice Frozen Fresh Corn Kernel,3.95,Fruits & Vegetables,1kg,- ,
Chef China Garlic - Fragrant,4.6,Fruits & Vegetables,500g,- ,
Pasar Organic French Bean,2.95,Fruits & Vegetables,250g•Organic,- ,
Loose Garlic,3.15,Fruits & Vegetables,1 per pack,- ,
Yili Farm Xiao Bai Cai,1.7,Fruits & Vegetables,300g,- ,
Pasar Koo Chye,0.75,Fruits & Vegetables,100g,- ,
Pasar Local Celery (Daun Sup),1.0,Fruits & Vegetables,100g,- ,
Pasar India Ladies Finger,2.3,Fruits & Vegetables,230g,- ,
Yili Farm Chye Sim Hua 300g,1.7,Fruits & Vegetables,300g,- ,
Pasar Sharp Spinach,0.9,Fruits & Vegetables,220g,- ,
Watties Frozen Mixed Veges,2.2,Fruits & Vegetables,250g,- ,
Pasar Thailand Asparagus - Thick,2.55,Fruits & Vegetables,250g,- ,
Emborg Frozen Blueberries & Strawberries,6.95,Fruits & Vegetables,400g,- ,
Pasar Organic Japanese Cucumber,3.4,Fruits & Vegetables,200g•Organic,- ,
Grimmway Farms Peeled Baby Carrots,1.7,Fruits & Vegetables,250g,- ,
Pasar Organic Kangkong,2.5,Fruits & Vegetables,200g•Organic,- ,
Pasar Malaysia Phuay Leng,1.9,Fruits & Vegetables,250g,- ,
Pasar Thailand Guava - Seedless,4.95,Fruits & Vegetables,950g (4 per pack),- ,
Emborg Frozen Broccoli Florets,4.75,Fruits & Vegetables,450g,- ,
Japan Sweet Potato,5.55,Fruits & Vegetables,500g,- ,
Fresh Chili Padi - Red,1.0,Fruits & Vegetables,100g,- ,
Pasar Organic Cucumber,3.95,Fruits & Vegetables,500g•Organic,- ,
Pasar Mini Romaine,1.35,Fruits & Vegetables,300g,- ,
Emborg Frozen Broccoli Mix,3.25,Fruits & Vegetables,450g,- ,
Australia Organic Carrots,5.9,Fruits & Vegetables,500g•Organic,- ,
Fresh Seedless Lime,1.65,Fruits & Vegetables,250g,- ,
South Africa Cherry Apple,4.0,Fruits & Vegetables,500g,- ,
P&L Fresh Vegetable - Pea Sprouts,2.2,Fruits & Vegetables,150g,- ,
Pasar Thailand Corn of Cob,2.3,Fruits & Vegetables,2 per pack,- ,
Fresh Spinach - Red,0.8,Fruits & Vegetables,200g,- ,
Korea King Oyster Mushroom,2.15,Fruits & Vegetables,200g,- ,
Fresh Round Spinach,0.8,Fruits & Vegetables,200g,- ,
Three Leaves Boiled Bamboo Shoot,1.85,Fruits & Vegetables,1 per pack,- ,
Pasar Organic Long Bean,2.8,Fruits & Vegetables,250g•Organic,- ,
Pasar Singapore Kow Peack Cai,0.9,Fruits & Vegetables,220g,- ,
Pasar Candy Sweet Corn,2.8,Fruits & Vegetables,330g,- ,
Fresh Red Globe Grape,4.95,Fruits & Vegetables,500g,- ,
Pasar Blue Ginger,1.05,Fruits & Vegetables,200g,- ,
Asia Evergreen Frozen Vegetables - Broccoli,2.3,Fruits & Vegetables,500g,- ,
Pasar Singapore Bean Sprouts,0.7,Fruits & Vegetables,200g,- ,
Emborg Frozen Sweet Corn,2.95,Fruits & Vegetables,450g,- ,
Organic Australia Broccoli,9.9,Fruits & Vegetables,500g•Organic,- ,
Pasar Malaysia English Parsley,1.2,Fruits & Vegetables,50g,- ,
Asia Evergreen Frozen Vegetables - Super Sweet Corn,2.3,Fruits & Vegetables,500g,- ,
Pasar Malaysia Pearl Sweet Corn,2.35,Fruits & Vegetables,330g,- ,
Defu Premium Grade Chopped Garlic - Cup,4.05,Fruits & Vegetables,300g,- ,
Fungo Mushrooms - Sliced Baby Shiitake,2.1,Fruits & Vegetables,150g,- ,
